"ID заявки";"ID клиента";"ProductID";"ShopID";"Год заявки";"Дата доставки";"Дата заявки";"Дата заявки (scale)";"Дата и время доставки";"Дата и время заявки";"Доставка (точка)";"Доставка - округ";"Доставка - район";"Доставка - тип";"Клиент";"Клиент - пол";"Клиент - статус";"Клиент- дата рождения";"Магазин";"Магазин (точка)";"Магазин - адрес";"Магазин - район";"Месяц заявки";"Продукт";"Продукт - бренд";"Продукт - категория";"Продукт - подкатегория";"Тип  оплаты";"Время доставки, дн.";"Продажа, ₽";"Скидка, ₽";"Среднее число продуктов в заказе";"Средний чек";"Число заявок";"Число клиентов";"Число магазинов"
2016-694061;61Vr3;prd-21;sp-16;2020;09.01.1974;20.10.2020;01.10.2020;09.01.1974 06:08:00;20.10.2020 23:51:00;[55.656037454,37.614473853];ЮАО;Нагорный;Самовывоз;Махмудов Махмуд Гаджулаевич;Мужчина;Базовый;1976-10-01;Дельта;[55.63799676,37.590931324];город Москва, микрорайон Северное Чертаново, дом 5, корпус Г;Чертаново Северное;01.10.2020;Зубной порошок;Кедровый лес;Бытовые товары;Косметика и здоровье;Наличные;"";62;0;1;62;1;1;1
2016-169329;Y1jsv;prd-19;sp-11;2020;09.01.1974;15.05.2020;01.05.2020;09.01.1974 06:08:00;15.05.2020 21:19:00;[55.764351561,37.657722763];ЦАО;Басманный;Самовывоз;Бредихин Игорь Анатольевич;Мужчина;Базовый;1979-06-26;Тау;[55.86161123,37.51313997];город Москва, Флотская улица, дом 25;Головинский;01.05.2020;Порошок для чистки ковриков;Городской драйв;Бытовая химия;Чистящие средства;Банковская карта;"";419;0;4;419;1;1;1
2016-625541;pvhJG;prd-13;sp-20;2020;03.01.2021;29.12.2020;01.12.2020;03.01.2021 07:01:00;29.12.2020 20:46:00;[55.607626637,37.617204848];ЮАО;Чертаново Южное;Доставка;Ковалева Любовь Анатольевна;Женщина;Базовый;1976-06-17;Йота;[55.591001279,37.606876613];город Москва, улица Газопровод, дом 9А;Чертаново Южное;01.12.2020;Гель для стирки цветных вещей;Чистый дом;Бытовая химия;Моющие средства;Банковская карта;4.427083333333333;468;0;1;468;1;1;1
2016-506221;z3quC;prd-27;sp-18;2020;14.10.2020;10.10.2020;01.10.2020;14.10.2020 22:38:00;10.10.2020 18:44:00;[55.6930413,37.748648124];ЮВАО;Текстильщики;Доставка;Лукьянова Галина Валентиновна;Женщина;Серебряный;1995-10-08;Дзета;[55.730702846,37.735875581];город Москва, Рязанский проспект, дом 2, строение 24;Нижегородский;01.10.2020;Декоративный букет;1001 и одна нужная мелочь;Бытовые товары;Товары последней необходимости;Банковская карта;4.1625;776;0;2;776;1;1;1
2016-537150;cxCmW;prd-31;sp-22;2020;09.01.1974;01.10.2020;01.10.2020;09.01.1974 06:08:00;01.10.2020 20:17:00;[55.676701034,37.49635894];ЗАО;Проспект Вернадского;Самовывоз;Климов Виктор Владимирович;Мужчина;Золотой;1991-12-26;Омега;[55.665135883,37.516913389];город Москва, улица Новаторов, дом 4, корпус 8;Обручевский;01.10.2020;Миксер многофункциональный;Kitchen&Food;Техника для дома;Кухонная;Банковская карта;"";1012;0;5;1012;1;1;1
2016-757669;9ZHhc;prd-12;sp-14;2020;09.01.1974;25.11.2020;01.11.2020;09.01.1974 06:08:00;25.11.2020 16:56:00;[55.768262354,37.646921012];ЦАО;Басманный;Самовывоз;Полежаев Петр Иванович;Мужчина;Серебряный;1980-08-01;Бета;[55.775754162,37.602958792];город Москва, Долгоруковская улица, дом 23, строение 1;Тверской;01.11.2020;Гель для стирки белых вещей;Чистый дом;Бытовая химия;Моющие средства;Наличные;"";481;0;4;481;1;1;1
2016-044450;jugiO;prd-32;sp-23;2020;13.09.2020;07.09.2020;01.09.2020;13.09.2020 15:15:00;07.09.2020 19:41:00;[55.799156051,37.672845623];ВАО;Сокольники;Доставка;Ковадло Алексей Анатольевич;Мужчина;Золотой;1979-02-19;Каппа;[55.7912397,37.687272174];город Москва, улица Стромынка, дом 6;Сокольники;01.09.2020;Блендер;Kitchen&Food;Техника для дома;Кухонная;Наличные;5.815277777777778;1441;0;3;1441;1;1;1
2016-350018;mVvLR;prd-35;sp-14;2020;09.01.1974;01.09.2020;01.09.2020;09.01.1974 06:08:00;01.09.2020 11:22:00;[55.724428282,37.635402817];ЦАО;Замоскворечье;Самовывоз;Колобов Константин Владимирович;Мужчина;Серебряный;1995-10-27;Бета;[55.775754162,37.602958792];город Москва, Долгоруковская улица, дом 23, строение 1;Тверской;01.09.2020;Электрический чайник;Разумный дом;Техника для дома;Кухонная;Банковская карта;"";1229;0;2;1229;1;1;1
2016-561183;9cxt7;prd-38;sp-22;2020;09.01.1974;27.12.2020;01.12.2020;09.01.1974 06:08:00;27.12.2020 19:04:00;[55.849114139,37.414009063];СЗАО;Южное Тушино;Самовывоз;Алмаев Сергей Викторович;Мужчина;Базовый;1972-04-19;Омега;[55.665135883,37.516913389];город Москва, улица Новаторов, дом 4, корпус 8;Обручевский;01.12.2020;Увлажнитель воздуха;Фабрика комфорта;Техника для дома;Техника для красоты и здоровья;Банковская карта;"";5679;0;1;5679;1;1;1
2016-665969;H1Abo;prd-24;sp-19;2020;09.01.1974;12.07.2020;01.07.2020;09.01.1974 06:08:00;12.07.2020 12:37:00;[55.839386885,37.390283262];СЗАО;Митино;Самовывоз;Коваленко Алексей Геннадьевич;Мужчина;Базовый;1978-12-29;Эта;[55.862016728,37.422337259];город Москва, улица Вилиса Лациса, дом 23, корпус 2;Северное Тушино;01.07.2020;Набор тарелок на 4 персоны, керамические;Хлеб-соль;Бытовые товары;Кухонные товары;Наличные;"";2494;0;4;2494;1;1;1
2016-797024;ddMea;prd-27;sp-15;2020;09.01.1974;11.06.2020;01.06.2020;09.01.1974 06:08:00;11.06.2020 20:13:00;[55.852681571,37.645318842];СВАО;Свиблово;Самовывоз;Ефремов Роман Александрович;Мужчина;Серебряный;1970-01-11;Гамма;[55.8538123,37.631289912];город Москва, Лазоревый проезд, дом 15, строение 4;Свиблово;01.06.2020;Декоративный букет;1001 и одна нужная мелочь;Бытовые товары;Товары последней необходимости;Наличные;"";789;0;5;789;1;1;1
2016-481272;qpyxP;prd-38;sp-16;2020;09.01.1974;29.12.2020;01.12.2020;09.01.1974 06:08:00;29.12.2020 23:12:00;[55.680263708,37.570602194];ЮЗАО;Академический;Самовывоз;Степаненко Ольга Александровна;Женщина;Базовый;1991-01-19;Дельта;[55.63799676,37.590931324];город Москва, микрорайон Северное Чертаново, дом 5, корпус Г;Чертаново Северное;01.12.2020;Увлажнитель воздуха;Фабрика комфорта;Техника для дома;Техника для красоты и здоровья;Банковская карта;"";5722;0;3;5722;1;1;1
2016-232128;gAEWF;prd-34;sp-20;2020;16.10.2020;06.10.2020;01.10.2020;16.10.2020 05:54:00;06.10.2020 21:13:00;[55.583115593,37.591912013];ЮАО;Чертаново Южное;Доставка;Волков Юрий Васильевич;Мужчина;Базовый;1990-07-31;Йота;[55.591001279,37.606876613];город Москва, улица Газопровод, дом 9А;Чертаново Южное;01.10.2020;Тостер;Разумный дом;Техника для дома;Кухонная;Банковская карта;9.361805555555556;1020;0;2;1020;1;1;1
2016-286776;G93v5;prd-36;sp-20;2020;01.10.2020;22.09.2020;01.09.2020;01.10.2020 13:44:00;22.09.2020 20:02:00;[55.622279665,37.666161337];ЮАО;Царицыно;Доставка;Васильев Михаил Юрьевич;Мужчина;Базовый;1980-06-29;Йота;[55.591001279,37.606876613];город Москва, улица Газопровод, дом 9А;Чертаново Южное;01.09.2020;Фен портативный;TechBeauty;Техника для дома;Техника для красоты и здоровья;Банковская карта;8.7375;523;0;1;523;1;1;1
2016-339796;47P5A;prd-19;sp-13;2020;09.01.1974;28.12.2020;01.12.2020;09.01.1974 06:08:00;28.12.2020 22:58:00;[55.66277683,37.414116325];ЗАО;Солнцево;Самовывоз;Чугуев Иван Федорович;Мужчина;Серебряный;1977-10-15;Альфа;[55.724743484,37.422065222];город Москва, Гвардейская улица, дом 15, корпус 2;Можайский;01.12.2020;Порошок для чистки ковриков;Городской драйв;Бытовая химия;Чистящие средства;Наличные;"";424;0;4;424;1;1;1
2016-260345;6WFCS;prd-20;sp-21;2020;09.01.1974;31.12.2020;01.12.2020;09.01.1974 06:08:00;31.12.2020 21:16:00;[55.754141752,37.539676467];ЦАО;Пресненский;Самовывоз;Чугунов Дмитрий Александрович;Мужчина;Золотой;1972-03-23;Сигма;[55.772185093,37.488024823];город Москва, улица Демьяна Бедного, дом 8;Хорошёво-Мнёвники;01.12.2020;Средство для чистки ванны "Белее белого";БиоДом;Бытовая химия;Чистящие средства;Наличные;"";151;0;4;151;1;1;1
2016-627740;qa8Up;prd-29;sp-14;2020;09.01.1974;30.08.2020;01.08.2020;09.01.1974 06:08:00;30.08.2020 19:37:00;[55.818536318,37.563519788];САО;Тимирязевский;Самовывоз;Степанов Олег Дмитриевич;Мужчина;Золотой;1980-04-11;Бета;[55.775754162,37.602958792];город Москва, Долгоруковская улица, дом 23, строение 1;Тверской;01.08.2020;Магниты на холодильник, 5 шт.;1001 и одна нужная мелочь;Бытовые товары;Товары последней необходимости;Наличные;"";260;0;1;260;1;1;1
2016-204866;gJ8Ud;prd-37;sp-22;2020;09.01.1974;03.06.2020;01.06.2020;09.01.1974 06:08:00;03.06.2020 18:36:00;[55.692569391,37.545532996];ЮЗАО;Гагаринский;Самовывоз;Перов Виктор Николаевич;Мужчина;Базовый;1983-01-17;Омега;[55.665135883,37.516913389];город Москва, улица Новаторов, дом 4, корпус 8;Обручевский;01.06.2020;Выпрямитель для волос;TechBeauty;Техника для дома;Техника для красоты и здоровья;Банковская карта;"";831;0;2;831;1;1;1
2016-784935;jUCgB;prd-18;sp-14;2020;12.12.2020;08.12.2020;01.12.2020;12.12.2020 06:03:00;08.12.2020 14:24:00;[55.797797824,37.581164385];САО;Савёловский;Доставка;Рамов Амир Мунирович;Мужчина;Серебряный;1983-02-08;Бета;[55.775754162,37.602958792];город Москва, Долгоруковская улица, дом 23, строение 1;Тверской;01.12.2020;Чистящее средство для автомобиля "Скорость";Городской драйв;Бытовая химия;Чистящие средства;Наличные;3.652083333333333;624;0;4;624;1;1;1
2016-950602;yx0Om;prd-23;sp-19;2020;09.01.1974;08.11.2020;01.11.2020;09.01.1974 06:08:00;08.11.2020 21:16:00;[55.832760196,37.420051369];СЗАО;Покровское-Стрешнево;Самовывоз;Александров Дмитрий Владимирович;Мужчина;Базовый;1970-03-28;Эта;[55.862016728,37.422337259];город Москва, улица Вилиса Лациса, дом 23, корпус 2;Северное Тушино;01.11.2020;Зубная паста для чувствительных десен;Кедровый лес;Бытовые товары;Косметика и здоровье;Наличные;"";105;0;1;105;1;1;1
2016-683372;FiiQB;prd-37;sp-13;2020;09.01.1974;19.10.2020;01.10.2020;09.01.1974 06:08:00;19.10.2020 21:31:00;[55.578111211,37.680190317];ЮАО;Бирюлёво Восточное;Самовывоз;Колотилин Петр Федорович;Мужчина;Серебряный;1988-11-03;Альфа;[55.724743484,37.422065222];город Москва, Гвардейская улица, дом 15, корпус 2;Можайский;01.10.2020;Выпрямитель для волос;TechBeauty;Техника для дома;Техника для красоты и здоровья;Наличные;"";836;0;2;836;1;1;1
2016-274721;HVLhS;prd-34;sp-19;2020;09.01.1974;01.10.2020;01.10.2020;09.01.1974 06:08:00;01.10.2020 21:27:00;[55.853045061,37.412786695];СЗАО;Северное Тушино;Самовывоз;Коробейников Алексей Александрович;Мужчина;Базовый;1986-06-01;Эта;[55.862016728,37.422337259];город Москва, улица Вилиса Лациса, дом 23, корпус 2;Северное Тушино;01.10.2020;Тостер;Разумный дом;Техника для дома;Кухонная;Наличные;"";1031;0;1;1031;1;1;1
2016-131100;YCh98;prd-39;sp-21;2020;09.01.1974;07.12.2020;01.12.2020;09.01.1974 06:08:00;07.12.2020 21:01:00;[55.740161585,37.420337155];ЗАО;Кунцево;Самовывоз;Быканин Кирилл Алексеевич;Мужчина;Серебряный;1990-03-15;Сигма;[55.772185093,37.488024823];город Москва, улица Демьяна Бедного, дом 8;Хорошёво-Мнёвники;01.12.2020;Весы напольные;Разумный дом;Техника для дома;Техника для красоты и здоровья;Банковская карта;"";845;0;1;845;1;1;1
2016-473971;TqN2K;prd-22;sp-20;2020;09.01.1974;19.07.2020;01.07.2020;09.01.1974 06:08:00;19.07.2020 12:48:00;[55.577748452,37.658777773];ЮАО;Бирюлёво Западное;Самовывоз;Бондарь Сергей Николаевич;Мужчина;Серебряный;1970-02-11;Йота;[55.591001279,37.606876613];город Москва, улица Газопровод, дом 9А;Чертаново Южное;01.07.2020;Зубная паста отбеливающая;Кедровый лес;Бытовые товары;Косметика и здоровье;Наличные;"";165;0;2;165;1;1;1
2016-817482;24DUV;prd-39;sp-15;2020;09.01.1974;10.12.2020;01.12.2020;09.01.1974 06:08:00;10.12.2020 14:55:00;[55.873190847,37.595804461];СВАО;Отрадное;Самовывоз;Ербягин Сергей Александрович;Мужчина;Золотой;1984-08-04;Гамма;[55.8538123,37.631289912];город Москва, Лазоревый проезд, дом 15, строение 4;Свиблово;01.12.2020;Весы напольные;Разумный дом;Техника для дома;Техника для красоты и здоровья;Наличные;"";845;0;2;845;1;1;1
2016-483723;0XXfF;prd-17;sp-20;2020;09.01.1974;16.10.2020;01.10.2020;09.01.1974 06:08:00;16.10.2020 17:57:00;[55.600555996,37.595886928];ЮАО;Чертаново Южное;Самовывоз;Тарасенко Антон Геннадьевич;Мужчина;Серебряный;1980-03-27;Йота;[55.591001279,37.606876613];город Москва, улица Газопровод, дом 9А;Чертаново Южное;01.10.2020;Универсальное чистящее средство "Мойдодыр";Мойдодыр;Бытовая химия;Чистящие средства;Наличные;"";298;0;4;298;1;1;1
2016-426272;8IOWS;prd-26;sp-13;2020;17.09.2020;13.09.2020;01.09.2020;17.09.2020 22:56:00;13.09.2020 22:05:00;[55.65785496,37.410850754];ЗАО;Солнцево;Доставка;Николаев Сергей Анатольевич;Мужчина;Золотой;1971-06-25;Альфа;[55.724743484,37.422065222];город Москва, Гвардейская улица, дом 15, корпус 2;Можайский;01.09.2020;Скатерть кухонная темно-синяя ;Ростовская фабрика;Бытовые товары;Кухонные товары;Наличные;4.035416666666666;311;0;1;311;1;1;1
2016-441242;Dauzt;prd-32;sp-14;2020;09.01.1974;01.05.2020;01.05.2020;09.01.1974 06:08:00;01.05.2020 14:25:00;[55.810884208,37.57475409];САО;Тимирязевский;Самовывоз;Овчинкин Николай Николаевич;Мужчина;Золотой;1994-06-21;Бета;[55.775754162,37.602958792];город Москва, Долгоруковская улица, дом 23, строение 1;Тверской;01.05.2020;Блендер;Kitchen&Food;Техника для дома;Кухонная;Наличные;"";1449;0;3;1449;1;1;1
2016-984787;UQqj3;prd-27;sp-16;2020;30.05.2020;24.05.2020;01.05.2020;30.05.2020 01:21:00;24.05.2020 14:36:00;[55.657021684,37.615487423];ЮАО;Нагорный;Доставка;Васильев Виктор Анатольевич;Мужчина;Серебряный;1995-04-26;Дельта;[55.63799676,37.590931324];город Москва, микрорайон Северное Чертаново, дом 5, корпус Г;Чертаново Северное;01.05.2020;Декоративный букет;1001 и одна нужная мелочь;Бытовые товары;Товары последней необходимости;Банковская карта;5.447916666666667;784;0;3;784;1;1;1
2016-751821;dOOPY;prd-27;sp-20;2020;09.01.1974;03.11.2020;01.11.2020;09.01.1974 06:08:00;03.11.2020 14:16:00;[55.598760719,37.587197614];ЮАО;Чертаново Южное;Самовывоз;Головин Георгий Петрович;Мужчина;Серебряный;1975-09-10;Йота;[55.591001279,37.606876613];город Москва, улица Газопровод, дом 9А;Чертаново Южное;01.11.2020;Декоративный букет;1001 и одна нужная мелочь;Бытовые товары;Товары последней необходимости;Наличные;"";786;0;2;786;1;1;1
2016-482091;TFz1T;prd-29;sp-21;2020;02.07.2020;24.06.2020;01.06.2020;02.07.2020 19:04:00;24.06.2020 12:41:00;[55.782332567,37.474760598];СЗАО;Хорошёво-Мнёвники;Доставка;Мишкин Валерий Николаевич;Мужчина;Серебряный;1980-06-23;Сигма;[55.772185093,37.488024823];город Москва, улица Демьяна Бедного, дом 8;Хорошёво-Мнёвники;01.06.2020;Магниты на холодильник, 5 шт.;1001 и одна нужная мелочь;Бытовые товары;Товары последней необходимости;Банковская карта;8.265972222222222;263;0;3;263;1;1;1
2016-301749;JjFXC;prd-18;sp-23;2020;09.01.1974;15.06.2020;01.06.2020;09.01.1974 06:08:00;15.06.2020 13:03:00;[55.779962342,37.663294658];ЦАО;Красносельский;Самовывоз;Каньков Олег Гиниятуллович;Мужчина;Базовый;1984-01-24;Каппа;[55.7912397,37.687272174];город Москва, улица Стромынка, дом 6;Сокольники;01.06.2020;Чистящее средство для автомобиля "Скорость";Городской драйв;Бытовая химия;Чистящие средства;Наличные;"";629;0;2;629;1;1;1
2016-204511;Vr1cg;prd-25;sp-18;2020;13.06.2020;06.06.2020;01.06.2020;13.06.2020 04:06:00;06.06.2020 11:52:00;[55.76535299,37.718638071];ЮВАО;Лефортово;Доставка;Игошин Игорь Николаевич;Мужчина;Золотой;1982-09-30;Дзета;[55.730702846,37.735875581];город Москва, Рязанский проспект, дом 2, строение 24;Нижегородский;01.06.2020;Столовые приборы на 4 персоны;Хлеб-соль;Бытовые товары;Кухонные товары;Наличные;6.676388888888889;3613;0;2;3613;1;1;1
